blade_length,wind_speed,turbine_stats,energy_output,motor_tempreture,blade_angle,vibration_level,humidity,air_pressure,category,anti_rust,efficiency
,5.0,off,5000,57,20,8,59,983,small,0.0,73.0
76.0,17.0,needs to be repaired,2806,28,37,5,84,1052,medium,0.0,
37.0,,off,1424,80,15,3,62,917,large,1.0,71.0
12.0,6.0,needs to be repaired,805,69,10,9,72,1064,large,0.0,42.0
89.0,,optimal,1023,49,9,6,82,1032,large,1.0,99.0
31.0,8.0,optimal,850,72,20,5,67,948,medium,,6.0
47.0,20.0,optimal,1167,77,22,5,43,903,small,0.0,29.0
81.0,,optimal,3118,46,0,3,44,1033,small,1.0,12.0
81.0,8.0,needs to be repaired,4494,56,15,10,20,1021,medium,1.0,89.0
71.0,16.0,needs to be repaired,1532,71,27,2,68,1096,small,,77.0
66.0,11.0,optimal,2760,76,26,6,26,1085,small,0.0,0.0
15.0,24.0,needs to be repaired,2502,65,30,4,45,1025,medium,1.0,16.0
87.0,7.0,needs to be repaired,1387,30,18,1,61,1036,small,,41.0
41.0,9.0,needs to be repaired,2620,25,42,10,53,1018,small,0.0,49.0
19.0,16.0,optimal,2187,41,35,5,66,971,nan,0.0,86.0
,16.0,off,4751,45,23,0,55,1067,large,0.0,18.0
68.0,24.0,off,877,70,12,6,80,997,large,1.0,85.0
85.0,11.0,needs to be repaired,2594,34,0,7,25,1009,nan,1.0,99.0
58.0,16.0,off,898,59,11,8,62,1059,small,1.0,99.0
68.0,6.0,off,1215,34,18,10,64,944,small,,71.0
40.0,18.0,needs to be repaired,5000,63,9,4,23,983,medium,1.0,77.0
78.0,20.0,needs to be repaired,3015,68,41,4,41,921,medium,,99.0
71.0,11.0,needs to be repaired,4412,29,3,3,37,1037,large,0.0,3.0
61.0,8.0,optimal,4165,25,40,1,36,1096,large,1.0,85.0
98.0,24.0,off,2844,68,35,8,71,1094,large,1.0,38.0
50.0,9.0,off,451,57,8,4,43,961,large,0.0,7.0
40.0,18.0,needs to be repaired,3875,45,3,9,51,1082,medium,0.0,42.0
94.0,13.0,optimal,2725,72,11,3,69,1052,large,1.0,48.0
93.0,9.0,needs to be repaired,1971,36,39,8,54,1023,small,1.0,47.0
,6.0,optimal,4408,24,20,7,33,1055,large,0.0,18.0
,9.0,off,3382,62,38,1,82,952,large,0.0,59.0
22.0,7.0,needs to be repaired,4845,21,43,1,89,1081,nan,1.0,26.0
54.0,14.0,needs to be repaired,2864,45,18,8,24,1091,medium,0.0,23.0
,12.0,off,3154,71,12,8,79,996,medium,0.0,73.0
58.0,14.0,optimal,1409,36,32,5,54,1079,medium,0.0,72.0
29.0,6.0,optimal,3163,60,45,0,32,1038,small,0.0,12.0
86.0,18.0,off,407,34,4,4,54,1003,small,0.0,58.0
90.0,8.0,optimal,2393,72,8,5,89,1074,medium,,31.0
63.0,25.0,off,2179,45,7,0,74,1025,nan,0.0,33.0
,16.0,off,4457,60,2,10,81,922,large,,54.0
10.0,24.0,off,2581,43,35,1,68,960,large,0.0,92.0
,18.0,optimal,1443,58,43,6,75,1047,nan,,23.0
86.0,20.0,needs to be repaired,5000,70,15,7,23,1063,large,0.0,83.0
26.0,9.0,off,2947,46,4,8,56,955,small,1.0,55.0
33.0,20.0,optimal,4900,71,23,1,26,904,medium,,70.0
67.0,8.0,off,4161,57,7,8,71,1091,small,0.0,80.0
81.0,7.0,optimal,3229,73,28,0,32,981,small,,9.0
100.0,5.0,off,3037,32,41,9,80,1006,small,,3.0
32.0,8.0,optimal,4367,27,34,10,60,1095,nan,1.0,77.0
55.0,13.0,off,937,31,18,1,20,905,medium,1.0,70.0
81.0,5.0,off,4522,48,33,4,84,1079,large,0.0,75.0
17.0,20.0,off,265,38,17,3,86,909,large,1.0,74.0
68.0,7.0,optimal,2520,59,38,1,35,1073,large,0.0,46.0
99.0,10.0,needs to be repaired,1937,24,21,7,78,901,small,1.0,16.0
68.0,17.0,off,687,55,10,10,20,1017,medium,0.0,7.0
22.0,21.0,optimal,3003,41,7,1,31,963,large,0.0,26.0
,,optimal,5000,77,0,0,38,983,medium,1.0,66.0
37.0,25.0,optimal,1066,52,0,6,81,1055,large,1.0,20.0
98.0,16.0,needs to be repaired,4542,52,15,4,87,957,large,1.0,58.0
70.0,12.0,needs to be repaired,100,28,43,5,86,989,large,1.0,78.0
25.0,20.0,needs to be repaired,4180,49,10,5,81,997,large,,46.0
11.0,7.0,off,1656,79,12,4,80,1029,small,,25.0
91.0,8.0,off,1171,29,42,3,74,932,medium,1.0,29.0
26.0,11.0,optimal,2748,79,43,9,41,1025,small,0.0,39.0
39.0,19.0,optimal,2646,44,45,0,62,1097,large,1.0,79.0
22.0,15.0,off,257,40,10,9,41,1009,medium,,43.0
91.0,20.0,optimal,1947,42,10,1,51,1021,medium,0.0,53.0
22.0,18.0,optimal,549,53,7,2,45,1056,large,0.0,36.0
52.0,17.0,needs to be repaired,2549,38,17,4,36,1003,nan,0.0,10.0
94.0,13.0,off,3319,29,36,8,78,1009,large,,
30.0,22.0,needs to be repaired,237,25,16,8,54,1042,large,1.0,93.0
64.0,7.0,optimal,4469,65,1,5,32,1046,medium,0.0,72.0
90.0,24.0,off,4932,40,39,10,88,1026,small,,41.0
49.0,9.0,needs to be repaired,4193,50,43,7,84,1042,small,,81.0
92.0,6.0,off,4234,46,32,9,51,965,medium,1.0,48.0
24.0,25.0,optimal,2834,72,42,2,81,1029,medium,0.0,18.0
82.0,21.0,optimal,3002,41,0,7,34,918,medium,1.0,46.0
61.0,20.0,optimal,2972,36,32,10,37,1077,small,,74.0
83.0,24.0,off,1686,80,38,6,53,1060,large,0.0,58.0
62.0,17.0,off,3565,79,37,0,48,1055,large,1.0,58.0
96.0,24.0,needs to be repaired,821,24,18,5,84,1016,large,0.0,
61.0,15.0,off,100,38,27,2,41,1042,small,0.0,4.0
39.0,12.0,needs to be repaired,3438,78,17,10,63,935,large,0.0,82.0
42.0,25.0,needs to be repaired,4916,40,36,8,47,1091,large,1.0,48.0
66.0,9.0,needs to be repaired,3770,20,30,4,75,983,large,0.0,3.0
61.0,6.0,off,4840,34,42,6,28,1017,large,1.0,16.0
18.0,8.0,off,1966,72,20,7,78,1070,medium,,79.0
63.0,7.0,off,5000,30,45,7,83,1064,small,0.0,
10.0,6.0,needs to be repaired,201,42,15,6,62,997,small,0.0,95.0
53.0,7.0,optimal,4613,65,6,5,50,1092,large,1.0,51.0
84.0,,needs to be repaired,588,71,7,3,32,937,medium,1.0,82.0
89.0,24.0,needs to be repaired,2884,58,37,6,25,931,medium,0.0,23.0
18.0,13.0,needs to be repaired,3504,46,38,9,79,1039,small,1.0,7.0
41.0,10.0,off,848,36,10,9,50,999,large,1.0,99.0
24.0,19.0,needs to be repaired,1662,39,23,8,30,944,medium,1.0,80.0
21.0,9.0,needs to be repaired,838,54,17,6,76,958,small,0.0,91.0
87.0,13.0,needs to be repaired,693,66,30,10,85,918,large,1.0,31.0
66.0,10.0,optimal,4260,77,21,7,67,1077,large,0.0,
17.0,,off,1046,35,40,10,76,916,large,1.0,75.0
81.0,17.0,needs to be repaired,502,32,21,6,42,951,nan,0.0,69.0
36.0,19.0,needs to be repaired,3805,31,20,9,84,1061,large,1.0,33.0
71.0,15.0,optimal,2491,32,20,1,71,982,small,1.0,46.0
21.0,20.0,off,4804,38,19,9,66,1094,medium,0.0,62.0
74.0,19.0,needs to be repaired,346,58,29,6,77,918,medium,1.0,67.0
51.0,10.0,off,2007,79,18,10,29,1010,medium,0.0,14.0
71.0,18.0,needs to be repaired,4993,66,34,6,61,1094,large,1.0,65.0
20.0,,needs to be repaired,4476,61,32,0,61,901,large,1.0,19.0
52.0,24.0,off,3848,67,7,10,56,969,small,0.0,91.0
26.0,14.0,optimal,2750,62,30,0,29,919,small,,54.0
41.0,20.0,needs to be repaired,4372,50,17,1,63,951,small,0.0,80.0
94.0,16.0,off,4345,62,6,9,32,1059,small,,76.0
94.0,11.0,needs to be repaired,1048,48,18,6,80,1092,large,1.0,16.0
49.0,11.0,needs to be repaired,2119,24,43,0,30,1018,medium,0.0,7.0
32.0,22.0,optimal,1796,46,20,7,44,924,large,1.0,80.0
65.0,19.0,optimal,2345,60,10,2,69,1074,medium,1.0,
15.0,10.0,off,1588,29,23,2,82,901,small,,41.0
95.0,23.0,needs to be repaired,2233,61,38,0,90,964,small,,40.0
59.0,12.0,needs to be repaired,4627,49,37,6,76,931,small,1.0,16.0
,24.0,off,904,42,14,10,37,1051,medium,0.0,
73.0,19.0,needs to be repaired,2055,58,29,4,24,1015,small,0.0,47.0
63.0,8.0,needs to be repaired,1774,61,18,9,79,908,small,1.0,40.0
81.0,22.0,off,3545,50,7,9,63,974,small,,59.0
58.0,17.0,optimal,632,45,18,4,36,1044,large,1.0,13.0
20.0,,needs to be repaired,100,29,0,6,63,1094,small,0.0,36.0
97.0,12.0,optimal,1555,65,18,7,82,907,small,1.0,35.0
58.0,23.0,optimal,2948,22,42,7,27,1040,medium,0.0,67.0
30.0,21.0,optimal,3546,27,24,1,57,926,large,1.0,94.0
75.0,,off,2957,20,42,4,49,987,large,1.0,61.0
72.0,5.0,off,1589,27,11,4,53,1047,large,,1.0
92.0,5.0,off,796,70,28,3,71,1001,medium,0.0,47.0
,25.0,optimal,2987,78,29,2,20,1047,medium,0.0,40.0
26.0,9.0,optimal,3531,70,25,9,32,1060,medium,0.0,84.0
15.0,5.0,optimal,1609,52,8,7,80,939,small,0.0,75.0
28.0,25.0,needs to be repaired,4967,42,27,3,51,975,small,,84.0
65.0,25.0,optimal,3151,25,40,5,48,935,small,1.0,90.0
37.0,24.0,needs to be repaired,2484,36,14,9,67,933,large,0.0,10.0
75.0,17.0,optimal,4455,52,20,6,79,1069,small,0.0,3.0
47.0,13.0,needs to be repaired,2850,34,25,2,83,908,medium,0.0,17.0
46.0,20.0,needs to be repaired,776,51,28,3,38,1016,large,0.0,23.0
77.0,12.0,off,4762,25,37,7,65,1068,small,1.0,70.0
95.0,18.0,off,4895,36,42,9,75,1096,small,0.0,24.0
99.0,21.0,optimal,3105,47,8,6,31,953,medium,0.0,26.0
58.0,8.0,off,3304,58,13,1,77,910,medium,1.0,56.0
52.0,11.0,needs to be repaired,1803,22,24,10,35,1043,medium,1.0,80.0
45.0,21.0,off,3964,52,3,8,71,1045,large,1.0,79.0
67.0,20.0,off,2498,45,2,8,73,997,small,0.0,61.0
22.0,18.0,needs to be repaired,1691,40,25,1,53,1087,small,0.0,3.0
61.0,20.0,optimal,2030,43,43,2,21,951,medium,1.0,17.0
67.0,6.0,optimal,1997,49,7,3,84,1007,small,0.0,71.0
41.0,19.0,needs to be repaired,3654,63,10,0,72,1082,small,0.0,7.0
90.0,15.0,off,667,80,9,8,35,1018,medium,0.0,37.0
69.0,17.0,optimal,3173,66,33,4,71,932,small,,9.0
92.0,8.0,needs to be repaired,4137,72,4,1,22,930,small,0.0,3.0
67.0,5.0,optimal,1480,46,28,2,26,980,small,1.0,1.0
65.0,19.0,needs to be repaired,4430,23,3,5,75,1031,large,1.0,14.0
37.0,16.0,off,2541,74,45,6,54,1022,nan,0.0,21.0
10.0,25.0,optimal,903,73,8,9,60,993,large,1.0,29.0
51.0,13.0,needs to be repaired,4376,63,24,7,37,997,small,,3.0
91.0,11.0,optimal,4211,37,16,9,43,1050,large,1.0,69.0
57.0,7.0,off,2322,80,36,3,31,932,nan,1.0,
49.0,20.0,optimal,3715,54,31,8,36,921,large,0.0,42.0
72.0,8.0,needs to be repaired,4069,46,36,5,50,1039,small,,59.0
85.0,18.0,off,2459,26,37,8,58,988,medium,1.0,73.0
81.0,17.0,needs to be repaired,579,43,40,8,34,1064,large,0.0,54.0
97.0,24.0,off,3740,77,23,6,39,1075,large,1.0,0.0
89.0,23.0,optimal,1350,33,21,10,71,1036,large,0.0,
13.0,6.0,off,2200,64,7,10,69,1082,small,1.0,0.0
47.0,14.0,off,4639,62,15,2,88,1096,small,0.0,19.0
,23.0,off,4506,60,18,5,65,924,medium,1.0,98.0
18.0,19.0,off,1737,47,42,5,88,1040,small,,51.0
25.0,11.0,needs to be repaired,657,43,20,4,51,976,small,0.0,26.0
65.0,19.0,off,3722,64,38,5,80,991,large,1.0,41.0
85.0,21.0,needs to be repaired,3066,26,18,9,73,908,medium,,11.0
40.0,20.0,needs to be repaired,2067,58,30,1,35,1058,medium,0.0,50.0
97.0,21.0,optimal,1288,51,19,3,44,968,small,1.0,9.0
23.0,20.0,optimal,2878,62,7,6,34,908,small,0.0,2.0
34.0,22.0,off,653,29,44,5,36,1083,small,,90.0
43.0,,off,1835,66,1,8,48,1095,large,1.0,26.0
76.0,8.0,optimal,2633,74,17,4,43,1020,medium,0.0,68.0
33.0,6.0,optimal,4244,32,42,3,41,993,large,,81.0
82.0,21.0,needs to be repaired,505,41,15,0,30,905,small,0.0,97.0
35.0,,off,3904,58,24,0,38,1068,small,,20.0
29.0,6.0,optimal,4219,62,35,10,46,1053,large,0.0,69.0
73.0,6.0,optimal,1307,53,34,6,29,997,small,,0.0
19.0,19.0,needs to be repaired,1645,57,21,6,42,1036,nan,,35.0
92.0,20.0,needs to be repaired,4113,79,0,10,64,988,small,,99.0
76.0,15.0,optimal,3331,58,41,2,59,1028,medium,,10.0
33.0,6.0,off,2632,56,9,8,88,1034,large,1.0,37.0
14.0,12.0,needs to be repaired,3965,43,42,0,74,1084,medium,,87.0
76.0,25.0,needs to be repaired,2990,55,38,8,83,1018,medium,1.0,75.0
67.0,16.0,off,1106,58,12,1,61,1073,medium,0.0,13.0
36.0,18.0,optimal,2723,33,32,1,64,1034,medium,1.0,35.0
89.0,18.0,optimal,1439,22,7,10,85,1052,large,1.0,98.0
24.0,,off,1381,21,16,3,90,969,medium,,11.0
44.0,6.0,off,3637,65,23,0,66,917,large,0.0,59.0
85.0,18.0,needs to be repaired,2916,50,2,9,23,1020,medium,,87.0
62.0,16.0,optimal,1016,65,3,7,28,982,large,1.0,11.0
53.0,13.0,optimal,3086,28,38,9,27,1010,nan,0.0,29.0
35.0,12.0,optimal,3923,27,11,6,52,1095,large,0.0,56.0
56.0,24.0,off,2908,55,11,7,81,1031,medium,0.0,94.0
43.0,20.0,off,2435,33,25,2,82,952,large,0.0,76.0
96.0,14.0,optimal,2698,70,37,4,67,998,medium,0.0,3.0
59.0,,off,2354,59,22,2,62,909,medium,0.0,73.0
93.0,19.0,off,4023,61,14,7,73,1038,medium,1.0,42.0
21.0,13.0,off,3577,34,0,7,74,1086,medium,0.0,19.0
96.0,8.0,optimal,1429,26,44,4,42,1070,large,1.0,2.0
13.0,10.0,optimal,3908,51,40,6,62,1079,large,1.0,14.0
96.0,16.0,optimal,213,73,32,9,89,981,large,0.0,29.0
,19.0,needs to be repaired,286,20,17,0,85,972,small,,25.0
64.0,23.0,optimal,4824,55,6,9,37,1075,medium,1.0,90.0
10.0,6.0,needs to be repaired,4848,23,16,8,82,1049,small,1.0,87.0
98.0,23.0,off,100,72,29,2,34,1076,nan,0.0,20.0
75.0,24.0,off,4203,59,14,2,32,976,small,,95.0
39.0,24.0,off,3959,27,29,6,64,970,large,1.0,30.0
12.0,6.0,optimal,100,66,5,8,43,1069,large,0.0,21.0
30.0,19.0,needs to be repaired,1640,38,26,10,33,1034,small,0.0,64.0
98.0,16.0,optimal,507,39,17,0,57,1020,small,1.0,78.0
93.0,5.0,optimal,3809,76,35,9,39,1016,nan,0.0,100.0
58.0,18.0,off,2669,32,42,3,33,933,small,0.0,31.0
95.0,8.0,needs to be repaired,3613,58,9,8,33,919,nan,1.0,37.0
94.0,15.0,optimal,1440,33,0,4,67,949,large,1.0,96.0
71.0,11.0,needs to be repaired,1162,70,17,9,67,925,small,0.0,19.0
47.0,17.0,optimal,1187,23,16,8,88,1081,small,0.0,90.0
24.0,18.0,off,1385,77,33,2,79,1025,small,0.0,67.0
61.0,11.0,optimal,578,59,6,7,68,1088,large,0.0,1.0
88.0,15.0,needs to be repaired,3160,67,18,9,63,1046,small,0.0,41.0
55.0,24.0,off,4236,23,1,3,68,1064,nan,1.0,31.0
34.0,24.0,optimal,262,45,14,10,36,967,large,,100.0
30.0,15.0,needs to be repaired,4794,47,44,0,24,904,medium,0.0,35.0
97.0,25.0,needs to be repaired,302,64,6,2,42,962,medium,1.0,68.0
14.0,13.0,off,3988,36,39,6,79,952,medium,,27.0
79.0,8.0,off,1850,67,15,0,83,1026,small,0.0,58.0
56.0,,optimal,4476,60,34,2,73,1097,large,0.0,45.0
96.0,6.0,off,4173,55,0,8,80,1056,large,0.0,33.0
77.0,13.0,optimal,110,28,34,4,29,986,medium,0.0,13.0
100.0,23.0,needs to be repaired,298,59,2,3,61,1034,large,,93.0
27.0,19.0,off,799,38,22,5,29,1086,medium,0.0,1.0
30.0,25.0,needs to be repaired,100,36,15,2,80,1014,small,1.0,12.0
95.0,25.0,needs to be repaired,3875,27,29,8,25,927,medium,1.0,59.0
32.0,22.0,optimal,1304,73,19,10,49,995,large,0.0,37.0
73.0,20.0,off,212,51,28,9,89,1051,medium,1.0,53.0
76.0,6.0,optimal,3757,79,35,7,52,962,small,1.0,13.0
49.0,16.0,off,3040,29,22,8,66,1038,medium,1.0,29.0
19.0,5.0,optimal,772,20,4,8,57,955,small,1.0,1.0
98.0,6.0,optimal,4266,51,15,2,76,989,small,,82.0
61.0,18.0,optimal,2467,65,15,4,36,1081,small,0.0,98.0
81.0,11.0,needs to be repaired,4866,60,35,5,26,982,medium,1.0,19.0
84.0,21.0,off,126,75,24,3,23,944,small,,64.0
70.0,19.0,needs to be repaired,1900,31,42,0,55,943,large,0.0,76.0
73.0,21.0,needs to be repaired,1368,45,39,3,49,1010,medium,,60.0
14.0,13.0,optimal,4182,43,18,3,40,912,large,1.0,0.0
62.0,17.0,optimal,3141,70,15,3,67,994,nan,0.0,26.0
64.0,6.0,needs to be repaired,2164,51,45,1,80,1043,nan,0.0,13.0
46.0,19.0,off,1842,39,3,2,78,1063,small,1.0,14.0
65.0,24.0,optimal,618,46,40,4,55,1015,medium,0.0,25.0
,15.0,needs to be repaired,1251,23,28,6,39,977,large,0.0,37.0
78.0,23.0,off,1974,56,20,5,76,912,medium,1.0,64.0
82.0,18.0,off,396,49,0,5,49,1048,medium,0.0,
68.0,8.0,needs to be repaired,2767,33,43,6,26,1056,large,1.0,93.0
11.0,15.0,needs to be repaired,4246,29,17,3,45,964,large,1.0,67.0
74.0,20.0,off,3383,65,29,2,79,1022,medium,1.0,93.0
69.0,6.0,off,4144,27,20,8,71,1049,large,1.0,64.0
60.0,6.0,needs to be repaired,1496,29,8,8,51,1067,small,0.0,12.0
39.0,13.0,needs to be repaired,3545,69,0,7,43,962,medium,0.0,25.0
20.0,25.0,off,3576,52,22,10,55,1032,large,0.0,88.0
85.0,25.0,optimal,3856,52,26,4,22,1034,large,0.0,88.0
48.0,8.0,off,2320,43,39,6,65,1076,small,0.0,26.0
99.0,12.0,off,2667,25,11,7,25,1009,large,,9.0
86.0,22.0,off,1684,27,15,0,39,953,large,,21.0
81.0,19.0,off,1078,60,36,3,50,1060,medium,1.0,33.0
72.0,6.0,optimal,2672,40,34,9,27,1060,large,,31.0
73.0,15.0,needs to be repaired,3528,58,35,7,42,1074,small,,83.0
70.0,21.0,off,1081,68,24,7,78,901,nan,0.0,90.0
63.0,11.0,needs to be repaired,1196,45,29,9,73,1015,medium,0.0,5.0
82.0,12.0,needs to be repaired,1056,78,7,6,59,909,small,1.0,96.0
67.0,14.0,needs to be repaired,3340,27,20,4,42,912,medium,1.0,94.0
94.0,7.0,off,4187,35,27,1,90,908,small,1.0,52.0
65.0,17.0,off,359,80,4,1,86,965,large,1.0,87.0
43.0,21.0,off,4407,27,0,0,42,904,small,0.0,52.0
,17.0,optimal,3425,21,45,7,58,935,large,0.0,76.0
61.0,23.0,needs to be repaired,2892,21,26,5,90,1074,medium,1.0,53.0
98.0,13.0,optimal,4993,31,28,3,50,1038,large,0.0,34.0
85.0,25.0,optimal,4396,57,38,2,40,940,medium,0.0,60.0
10.0,20.0,off,3516,68,22,5,74,1044,small,1.0,51.0
64.0,9.0,needs to be repaired,1686,72,45,1,66,1094,large,1.0,28.0
31.0,13.0,needs to be repaired,4373,43,14,6,63,929,large,1.0,24.0
49.0,13.0,off,3485,27,41,5,49,1024,medium,1.0,87.0
10.0,10.0,off,2945,44,19,7,86,936,medium,0.0,34.0
74.0,25.0,optimal,1608,59,2,4,70,988,medium,,72.0
72.0,14.0,off,2843,61,41,3,57,1085,large,1.0,82.0
63.0,22.0,optimal,2500,78,10,0,84,993,medium,1.0,94.0
51.0,15.0,needs to be repaired,3005,59,7,8,45,966,large,,12.0
30.0,19.0,optimal,3600,23,41,10,30,1053,large,1.0,10.0
88.0,11.0,off,2256,68,20,4,89,1005,medium,1.0,11.0
90.0,18.0,needs to be repaired,3687,55,17,10,44,1081,medium,0.0,13.0
31.0,,optimal,5000,41,16,3,82,1078,small,1.0,82.0
47.0,23.0,optimal,4155,69,18,10,78,1058,medium,1.0,82.0
89.0,19.0,needs to be repaired,4656,72,19,0,20,965,medium,0.0,41.0
17.0,,optimal,1124,50,18,8,41,1031,large,0.0,38.0
71.0,22.0,optimal,932,61,31,9,54,1087,small,1.0,87.0
56.0,21.0,optimal,2671,65,14,3,80,995,small,,8.0
26.0,7.0,off,2833,65,0,3,27,978,medium,0.0,98.0
26.0,7.0,off,4019,49,32,1,65,1032,medium,1.0,100.0
99.0,11.0,off,4417,80,6,2,54,925,medium,,10.0
22.0,14.0,optimal,4244,73,28,4,55,999,small,0.0,12.0
26.0,21.0,needs to be repaired,1309,37,16,8,86,1052,large,0.0,10.0
47.0,19.0,optimal,1551,70,9,3,48,968,nan,1.0,77.0
90.0,,optimal,4630,50,13,1,65,1002,medium,1.0,74.0
87.0,21.0,off,1188,52,17,4,50,960,medium,0.0,95.0
54.0,7.0,off,1737,60,21,8,69,1078,large,,29.0
15.0,8.0,optimal,456,72,21,7,89,1070,medium,,2.0
44.0,12.0,off,2169,40,45,3,57,924,small,1.0,75.0
23.0,17.0,optimal,4432,67,12,0,62,927,medium,0.0,67.0
81.0,,off,700,40,23,6,41,932,medium,,77.0
70.0,22.0,optimal,100,31,39,10,69,1046,medium,1.0,14.0
24.0,15.0,optimal,2907,74,24,6,55,902,large,1.0,97.0
63.0,25.0,needs to be repaired,3427,22,33,3,78,970,small,0.0,45.0
36.0,10.0,off,4947,29,24,4,26,979,medium,,91.0
22.0,20.0,needs to be repaired,2645,27,6,4,80,1087,medium,1.0,70.0
40.0,25.0,off,1026,36,14,3,47,1099,medium,,63.0
,23.0,off,2850,66,31,8,66,925,small,1.0,44.0
69.0,21.0,off,1605,62,16,8,37,927,medium,1.0,
15.0,22.0,needs to be repaired,2563,49,1,5,60,912,large,0.0,70.0
78.0,15.0,off,4579,72,42,10,50,985,medium,1.0,79.0
,18.0,optimal,1422,58,0,9,33,970,small,0.0,3.0
67.0,16.0,optimal,2952,22,29,7,64,909,large,1.0,90.0
58.0,24.0,off,4971,78,30,1,45,933,large,1.0,59.0
32.0,11.0,off,3438,33,9,8,30,976,medium,,65.0
98.0,21.0,off,3471,35,5,3,53,956,large,1.0,21.0
,9.0,off,1457,37,22,3,36,1083,small,0.0,9.0
35.0,18.0,off,836,24,10,10,62,1040,small,0.0,28.0
56.0,17.0,off,2258,78,27,1,87,929,small,,18.0
14.0,16.0,needs to be repaired,2127,31,41,4,72,964,large,0.0,
,18.0,optimal,4197,57,27,3,47,965,medium,1.0,99.0
29.0,,off,3070,34,19,7,70,980,medium,,12.0
15.0,8.0,needs to be repaired,2255,53,14,8,29,1066,large,0.0,
79.0,23.0,needs to be repaired,1244,31,15,6,81,907,small,1.0,3.0
68.0,5.0,off,2359,55,5,9,41,1030,medium,,97.0
73.0,17.0,needs to be repaired,364,34,10,2,65,1086,medium,0.0,66.0
27.0,10.0,optimal,3053,76,7,6,82,986,large,0.0,71.0
13.0,5.0,off,2359,57,37,1,79,949,large,,46.0
26.0,21.0,off,1995,59,40,7,75,1021,medium,1.0,41.0
,7.0,optimal,1253,74,12,7,24,1089,large,0.0,99.0
87.0,21.0,needs to be repaired,100,22,41,8,50,1041,medium,0.0,53.0
22.0,6.0,off,137,79,30,10,54,937,large,1.0,71.0
16.0,11.0,optimal,4537,62,5,3,76,1002,small,,2.0
53.0,5.0,optimal,4515,49,43,7,39,937,small,1.0,5.0
24.0,25.0,off,4619,71,35,3,50,1071,small,0.0,57.0
28.0,19.0,optimal,4783,56,43,8,48,922,nan,1.0,54.0
72.0,8.0,off,100,80,1,6,86,1085,large,0.0,11.0
44.0,10.0,needs to be repaired,538,32,39,3,29,976,large,,100.0
90.0,,off,3216,62,6,7,38,1011,medium,0.0,95.0
44.0,17.0,off,787,23,23,8,61,1025,small,,61.0
28.0,17.0,optimal,2786,67,12,7,35,976,large,1.0,45.0
29.0,24.0,optimal,3978,41,33,10,36,917,medium,0.0,82.0
44.0,5.0,needs to be repaired,3636,62,44,2,31,1004,medium,,77.0
41.0,6.0,off,100,21,27,6,54,953,small,,21.0
57.0,10.0,needs to be repaired,3934,76,0,7,41,1072,small,0.0,15.0
53.0,15.0,optimal,3925,28,45,6,83,1057,small,0.0,97.0
33.0,22.0,needs to be repaired,2053,68,7,10,65,906,small,0.0,35.0
70.0,17.0,off,106,77,5,10,43,985,small,0.0,24.0
26.0,,off,298,55,9,10,78,1069,medium,1.0,91.0
80.0,,off,3364,70,45,9,59,1020,medium,1.0,66.0
59.0,24.0,optimal,925,56,4,3,90,956,small,1.0,31.0
74.0,11.0,optimal,2139,51,29,9,86,934,medium,1.0,10.0
41.0,24.0,off,1294,57,11,6,79,933,small,0.0,14.0
45.0,11.0,optimal,681,42,24,0,72,902,small,,1.0
22.0,11.0,needs to be repaired,1338,37,38,2,23,952,small,0.0,38.0
79.0,6.0,needs to be repaired,4500,57,11,0,62,1020,medium,0.0,66.0
67.0,15.0,off,2207,22,40,10,69,921,medium,1.0,8.0
23.0,5.0,optimal,5000,58,43,9,23,993,medium,0.0,100.0
46.0,25.0,off,3724,47,39,6,30,943,small,,75.0
88.0,17.0,needs to be repaired,1773,37,28,1,40,912,medium,0.0,59.0
77.0,16.0,needs to be repaired,1821,48,33,1,72,907,medium,,64.0
49.0,17.0,optimal,1601,30,27,10,81,930,large,1.0,50.0
68.0,11.0,needs to be repaired,399,50,27,0,77,985,small,,85.0
89.0,16.0,optimal,738,69,44,1,63,1064,small,1.0,
25.0,21.0,optimal,1128,61,9,2,53,933,medium,1.0,14.0
71.0,12.0,needs to be repaired,3492,73,1,5,63,949,medium,,
13.0,7.0,needs to be repaired,387,38,6,2,34,959,medium,0.0,70.0
,11.0,off,3501,70,32,9,42,1026,medium,1.0,78.0
99.0,23.0,optimal,3294,32,39,9,82,934,small,,33.0
37.0,24.0,off,3469,48,18,4,64,1074,nan,0.0,75.0
75.0,12.0,optimal,4429,62,33,0,25,1099,small,,70.0
40.0,18.0,needs to be repaired,1412,50,26,5,62,919,small,0.0,68.0
12.0,18.0,optimal,960,52,35,10,75,1020,large,0.0,37.0
17.0,6.0,off,3039,67,2,2,20,978,medium,,87.0
33.0,,optimal,4710,45,4,5,33,905,small,,25.0
24.0,20.0,needs to be repaired,2549,22,7,0,37,948,large,0.0,16.0
52.0,13.0,off,315,46,24,8,47,918,large,0.0,84.0
40.0,25.0,optimal,2665,75,45,3,86,1001,large,1.0,90.0
82.0,19.0,optimal,2032,36,7,1,87,1003,small,1.0,84.0
54.0,23.0,optimal,2460,53,13,9,37,1097,small,,5.0
75.0,19.0,optimal,4586,29,21,4,49,927,medium,0.0,17.0
17.0,16.0,optimal,4202,45,25,3,72,932,nan,,95.0
80.0,13.0,needs to be repaired,2108,77,4,3,71,1057,medium,,6.0
